C	target_system	training_systems
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
10	Eawag_XBridgeC18	Eawag_XBridgeC18
10	Eawag_XBridgeC18	Eawag_XBridgeC18
10	Eawag_XBridgeC18	Eawag_XBridgeC18
10	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
10	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
10	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
10	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
100	Eawag_XBridgeC18	Eawag_XBridgeC18
1	Eawag_XBridgeC18	Eawag_XBridgeC18
