"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C12H16N2S/c1-2-5-10-6-3-4-7-11(10)14-12-13-8-9-15-12/h3-4,6-7H,2,5,8-9H2,1H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,9,8,18,0,4,18,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,14,0,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
"InChI=1S/C12H16N2S/c1-2-10-4-6-11(7-5-10)14-12-13-8-3-9-15-12/h4-7H,2-3,8-9H2,1H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,6,18,0,8,18,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,9,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,14,0,0,0,0
"InChI=1S/C12H16N2S/c1-8-6-9(2)11(10(3)7-8)14-12-13-4-5-15-12/h6-7H,4-5H2,1-3H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,5,9,0,4,9,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
"InChI=1S/C12H16N2S/c1-9-7-13-12(15-8-9)14-11-6-4-3-5-10(11)2/h3-6,9H,7-8H2,1-2H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,6,0,0,0,8,0,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,2,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,14,0,0,0,0
"InChI=1S/C12H16N2S/c1-9-11(14-6-3-2-4-7-14)12-10(13-9)5-8-15-12/h5,8,11H,2-4,6-7H2,1H3",1,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,36,33,26,36,0,3,2,11,1,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,5,0,1,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,1,0,1,0,1,1,23,2,0,0,0
"InChI=1S/C12H16N2S/c1-9(2)10-5-3-4-6-11(10)14-12-13-7-8-15-12/h3-6,9H,7-8H2,1-2H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,6,5,9,0,4,9,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
"InChI=1S/C12H16N2S/c1-9-4-5-11(8-10(9)2)14-12-13-6-3-7-15-12/h4-5,8H,3,6-7H2,1-2H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,6,18,0,8,18,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,14,0,0,0,0
"InChI=1S/C12H16N2S/c1-10-5-8-15-12(10)11(9-13)14-6-3-2-4-7-14/h5,8,11H,2-4,6-7H2,1H3",1,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,36,33,26,36,0,2,2,9,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,1,0,23,0,0,0,0
"InChI=1S/C12H16N2S/c1-8-5-4-6-9(2)11(8)14-12-13-10(3)7-15-12/h4-6,10H,7H2,1-3H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,3,0,0,0,0,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,1,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
"InChI=1S/C12H16N2S/c1-10-5-2-3-6-11(10)9-14-12-13-7-4-8-15-12/h2-3,5-6H,4,7-9H2,1H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,6,18,0,26,18,3,2,2,7,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,9,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,14,0,0,0,0
"InChI=1S/C12H16N2S/c1-10-4-2-5-11(8-10)9-14-12-13-6-3-7-15-12/h2,4-5,8H,3,6-7,9H2,1H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,6,18,0,26,18,0,2,2,7,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,9,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,14,0,0,0,0
"InChI=1S/C12H16N2S/c1-8-5-4-6-9(2)11(8)14-12-13-7-10(3)15-12/h4-6,10H,7H2,1-3H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,3,0,0,0,0,0,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,1,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
"InChI=1S/C12H16N2S/c1-9-5-4-6-10(2)11(9)13-12-14(3)7-8-15-12/h4-6H,7-8H2,1-3H3",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,9,0,4,9,3,2,2,8,1,2,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,2,0,1,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,13,0,0,0,0
"InChI=1S/C12H16N2S/c1-3-10-8-15-12(13-10)14-11-7-5-4-6-9(11)2/h4-7,10H,3,8H2,1-2H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,6,0,0,0,0,3,2,2,5,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,7,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
"InChI=1S/C12H16N2S/c1-9-5-3-6-10(2)11(9)14-8-4-7-13-12(14)15/h3,5-6H,4,7-8H2,1-2H3,(H,13,15)",1,1,5,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,6,6,18,0,8,18,0,2,2,8,1,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,3,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,1,17,0,0,0,0
"InChI=1S/C12H16N2S/c1-3-10-6-4-5-7-11(10)13-12-14(2)8-9-15-12/h4-7H,3,8-9H2,1-2H3",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,9,0,4,9,3,2,2,8,1,2,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,8,0,1,2,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,13,0,0,0,0
"InChI=1S/C12H16N2S/c1-10(11-6-3-2-4-7-11)14-12-13-8-5-9-15-12/h2-4,6-7,10H,5,8-9H2,1H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,6,18,0,8,18,0,2,2,7,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,14,0,0,0,0
"InChI=1S/C12H16N2S/c1-2-10-5-3-4-6-11(10)9-14-12-13-7-8-15-12/h3-6H,2,7-9H2,1H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,8,9,9,22,9,0,2,2,7,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,14,3,0,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
"InChI=1S/C12H16N2S/c1-9-4-3-5-10(2)12(9)14-11-6-7-15-8-13-11/h3-5,8,11,14H,6-7H2,1-2H3",1,1,5,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,9,0,0,9,0,2,2,6,1,2,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,14,0,0,0,0
"InChI=1S/C12H16N2S/c1-9-4-3-5-11(10(9)2)8-14-12-13-6-7-15-12/h3-5H,6-8H2,1-2H3,(H,13,14)",1,1,5,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,5,9,0,22,9,3,2,2,7,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,8,3,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,10,0,0,0,0
